 Alagoa Grande;3ª;" EEEFM PADRE HILDON
 BANDEIRA";MAIANY NASCIMENTO DA SILVA;AMANDA FLORENTINO BARREIRA;;;;;;
 Alagoa Grande;3ª;" EEEFM PADRE HILDON
 BANDEIRA";SAMILLY FRANÇA OLIVEIRA;AMANDA FLORENTINO BARREIRA;;;;;;
 Alagoa Grande;3ª;" EEEFM PADRE HILDON
 BANDEIRA";JONATHA RIBEIRO MELO;AMANDA FLORENTINO BARREIRA;;;;;;
 Alagoa Grande;3ª;"ECIT OSWALDO TRIGUEIRO
DE ALBUQUERQUE MELO";LAYLA NOEMI ALVES ROCHA;MARIA HELENA LIRA DA BANDEIRA LEIRIA;;;;;;
 Alagoa Grande;3ª;"ECIT OSWALDO TRIGUEIRO
DE ALBUQUERQUE MELO";ADRYAN BARBOSA DA SILVA;MARIA HELENA LIRA DA BANDEIRA LEIRIA;;;;;;
 Alagoa Grande;3ª;"ECIT OSWALDO TRIGUEIRO
DE ALBUQUERQUE MELO";GIULLIA MARIA ASSIS DE SOUZA;MARIA HELENA LIRA DA BANDEIRA LEIRIA;;;;;;
 Alagoa Grande;3ª;"ECIT OSWALDO TRIGUEIRO
DE ALBUQUERQUE MELO";ANA APARECIDA DO NASCIMENTO SILVA;MARIA HELENA LIRA DA BANDEIRA LEIRIA;;;;;;
 Alagoa Grande;3ª;"ECIT OSWALDO TRIGUEIRO
DE ALBUQUERQUE MELO";JONNATHAN PONTES FELIX ;MARIA HELENA LIRA DA BANDEIRA LEIRIA;;;;;;
Alagoa Nova;3ª;"ECIT MONSENHOR JOSE
 BORGES DE CARVALHO";JOSÉ GUILHERME CUNHA MARINHO FILHO;DORA VIEIRA DOS REIS;;;;;;
Alagoa Nova;3ª;"ECIT MONSENHOR JOSE
 BORGES DE CARVALHO";ANA FLÁVIA PEREIRA DE ARAÚJO;DORA VIEIRA DOS REIS;;;;;;
Alagoa Nova;3ª;"ECIT MONSENHOR JOSE
 BORGES DE CARVALHO";TATIANA FRANÇA DOS SANTOS;DORA VIEIRA DOS REIS;;;;;;
Alagoa Nova;3ª;"ECIT MONSENHOR JOSE
 BORGES DE CARVALHO";LORENA JORDANNA SETÚBAL FERRREIRA;DORA VIEIRA DOS REIS;;;;;;
Alagoa Nova;3ª;"ECIT MONSENHOR JOSE
 BORGES DE CARVALHO";SAFIRA DA SILVA VIEIRA;DORA VIEIRA DOS REIS;;;;;;
Alagoinha;2ª;"ECIT AGENOR CLEMENTE 
DOS SANTOS";GABRIEL PEREIRA DE ARAÚJO JÚNIOR;OTÁVIO SOUZA FÉLIX LARANJEIRA BRITES;;;;;;
Alagoinha;2ª;"ECIT AGENOR CLEMENTE 
DOS SANTOS";JOÃO LUCAS FERREIRA MONTEIRO;OTÁVIO SOUZA FÉLIX LARANJEIRA BRITES;;;;;;
Alagoinha;2ª;"ECIT AGENOR CLEMENTE 
DOS SANTOS";PAULO HENRIQUE AMÉRICO;OTÁVIO SOUZA FÉLIX LARANJEIRA BRITES;;;;;;
Alagoinha;2ª;"ECIT AGENOR CLEMENTE 
DOS SANTOS";VITÓRIA KAROLINE NEVES DE SOUZA;OTÁVIO SOUZA FÉLIX LARANJEIRA BRITES;;;;;;
Alagoinha;2ª;"ECIT AGENOR CLEMENTE 
DOS SANTOS";MARYANE SOARES ARAÚJO;OTÁVIO SOUZA FÉLIX LARANJEIRA BRITES;;;;;;
Alcantil;3ª;"ECIT PROFESSORA MARIA
CECILIA DE CASTRO";DIOGO HENRIQUE RAMOS;ISAAC VIEIRA ANTENA;;;;;;
Alcantil;3ª;"ECIT PROFESSORA MARIA
CECILIA DE CASTRO";LAURA DA SILVA MARTINS SOUTO;ISAAC VIEIRA ANTENA;;;;;;
Alcantil;3ª;"ECIT PROFESSORA MARIA
CECILIA DE CASTRO";LUIZ FELIPE FERREIRA RIBEIRO;ISAAC VIEIRA ANTENA;;;;;;
Alcantil;3ª;"ECIT PROFESSORA MARIA
CECILIA DE CASTRO";BEATRIZ MENEZES MATTOS DOS SANTOS;ISAAC VIEIRA ANTENA;;;;;;
Alcantil;3ª;"ECIT PROFESSORA MARIA
CECILIA DE CASTRO";ARTUR HENRIQUE ALVES LIMA;ISAAC VIEIRA ANTENA;;;;;;
"Algodão de 
Jandaíra";3ª;"EEEFM EUCLIDES MOUZINHO
SANTOS";LUCAS AHIMED SILVA;ANA SOFIA PEREIRA GALVÃO;;;;;;
"Algodão de 
Jandaíra";3ª;"EEEFM EUCLIDES MOUZINHO
SANTOS";HEITOR MACÁRIO ALENCAR;ANA SOFIA PEREIRA GALVÃO;;;;;;
"Algodão de 
Jandaíra";3ª;"EEEFM EUCLIDES MOUZINHO
SANTOS";NATHALYA RUTTY BERTOLDO FERREIRA;ANA SOFIA PEREIRA GALVÃO;;;;;;
"Algodão de 
Jandaíra";3ª;"EEEFM EUCLIDES MOUZINHO
SANTOS";LUIZA DA SILVA FERREIRA SOUZA ;ANA SOFIA PEREIRA GALVÃO;;;;;;
"Algodão de 
Jandaíra";3ª;"EEEFM EUCLIDES MOUZINHO
SANTOS";ANDREO MATHEUS SILVEIRA ROCHA;ANA SOFIA PEREIRA GALVÃO;;;;;;
Alhandra;1ª;"ECIT RENATO RIBEIRO
COUTINHO";KAYKY FERREIRA CÂNDIDO ;CATARINA CAVALCANTE MODESTO;;;;;;
Alhandra;1ª;"ECIT RENATO RIBEIRO
COUTINHO";VICTOR MENDES DA SILVA ;CATARINA CAVALCANTE MODESTO;;;;;;
Alhandra;1ª;"ECIT RENATO RIBEIRO
COUTINHO";CLEONICE SILVA DE LIMA;CATARINA CAVALCANTE MODESTO;;;;;;
Alhandra;1ª;"ECIT RENATO RIBEIRO
COUTINHO";MAYCON DE LIMA FONSECA;CATARINA CAVALCANTE MODESTO;;;;;;
Alhandra;1ª;"ECIT RENATO RIBEIRO
COUTINHO";MARIA RITA LISBOA BRITO;CATARINA CAVALCANTE MODESTO;;;;;;
Alhandra;1ª;EEEFM BARAO DO ABIAI;VITÓRIA OLIVEIRA REGIS;IOLANDA AMARAL DA NÓBREGA;;;;;;
Alhandra;1ª;EEEFM BARAO DO ABIAI;RAYANE HELLEN SILVA DE BRITO;IOLANDA AMARAL DA NÓBREGA;;;;;;
Alhandra;1ª;EEEFM BARAO DO ABIAI;JOSEILSON JANUÁRIO DE OLIVEIRA ;IOLANDA AMARAL DA NÓBREGA;;;;;;
Alhandra;1ª;EEEFM BARAO DO ABIAI;THAINARA MATIAS DA SILVA;IOLANDA AMARAL DA NÓBREGA;;;;;;
Alhandra;1ª;EEEFM BARAO DO ABIAI;JAMYLI CLARA SANTOS FARIAS;IOLANDA AMARAL DA NÓBREGA;;;;;;
Alhandra;1ª;EEEFM ANTONIO CAMELO;YAGO CRISTO DA SILVA;BENJAMIN GARCIA MUNIZ PEREIRA;;;;;;
Alhandra;1ª;EEEFM ANTONIO CAMELO;ÂNGELA FORMIGA BRANDÃO;BENJAMIN GARCIA MUNIZ PEREIRA;;;;;;
Alhandra;1ª;EEEFM ANTONIO CAMELO;GABRIELLY ETERNA CERQUEIRA;BENJAMIN GARCIA MUNIZ PEREIRA;;;;;;
Alhandra;1ª;EEEFM ANTONIO CAMELO;KAUÃ SILVA OLIVEIRA ;BENJAMIN GARCIA MUNIZ PEREIRA;;;;;;
Alhandra;1ª;EEEFM ANTONIO CAMELO;ISADORA ARRUDA AZEVEDO;BENJAMIN GARCIA MUNIZ PEREIRA;;;;;;
Amparo;5ª; EEEF DE AMPARO;DANIEL LUCAS OLIVEIRA DE CIPRIANO SOUZA;HORTÊNSIA CORDEIRO DA ROCHA GUTERRES;;;;;;
Amparo;5ª; EEEF DE AMPARO;MARIA FERNANDA ARAÚJO FERREIRA DE BRITO;HORTÊNSIA CORDEIRO DA ROCHA GUTERRES;;;;;;
Amparo;5ª; EEEF DE AMPARO;EMILY GABRIELLY CABRAL TONEL SANTOS;HORTÊNSIA CORDEIRO DA ROCHA GUTERRES;;;;;;
Amparo;5ª; EEEF DE AMPARO;KAREN GABRIELLY MARCELINO NOVAES;HORTÊNSIA CORDEIRO DA ROCHA GUTERRES;;;;;;
Amparo;5ª; EEEF DE AMPARO;JOSÉ RUBENS MARCELINO VIEIRA;HORTÊNSIA CORDEIRO DA ROCHA GUTERRES;;;;;;
Aparecida;13ª;EEEFM DR JOSE GADELHA;ANA GRAZIELLA CAMPOS DE FERNANDES;OLGA SOUZA ESPINHEIRA RAMALHO;;;;;;
Aparecida;13ª;EEEFM DR JOSE GADELHA;LUCAS HEISENBERG AZEVEDO DA SILVA;OLGA SOUZA ESPINHEIRA RAMALHO;;;;;;
Aparecida;13ª;EEEFM DR JOSE GADELHA;ANA LUIZA FARIAS DE ARAÚJO;OLGA SOUZA ESPINHEIRA RAMALHO;;;;;;
Aparecida;13ª;EEEFM DR JOSE GADELHA;PLÍNIO FABRÍCIO DE OLIVEIRA SILVA FILHO;OLGA SOUZA ESPINHEIRA RAMALHO;;;;;;
Aparecida;13ª;EEEFM DR JOSE GADELHA;LETICYA ANGELITA ROCHA MAROJA;OLGA SOUZA ESPINHEIRA RAMALHO;;;;;;
Araçagi;2ª;"EEEFM RODRIGUES DE
 CARVALHO";HELLEN MARIA DA CONCEICAO SOUZA;PEDRO LUCAS AGUIAR BRITES;;;;;;
Araçagi;2ª;"EEEFM RODRIGUES DE
 CARVALHO";JOÃO RODRIGUES DA SILVA;PEDRO LUCAS AGUIAR BRITES;;;;;;
Araçagi;2ª;"EEEFM RODRIGUES DE
 CARVALHO";EMANUEL MURILO DE OLIVEIRA ROCHA;PEDRO LUCAS AGUIAR BRITES;;;;;;
Araçagi;2ª;"EEEFM RODRIGUES DE
 CARVALHO";ANDRE HENRIQUE DA SILVA LUCENA;PEDRO LUCAS AGUIAR BRITES;;;;;;
Araçagi;2ª;"EEEFM RODRIGUES DE
 CARVALHO";MARIA VICTORYA PESSOA DA SILVA;PEDRO LUCAS AGUIAR BRITES;;;;;;
Araçagi;2ª;" ECI FRANCISCO PESSOA 
DE BRITO";GIULIANNA WANICK DE AZEVEDO;GUILHERME XAVIER LEIRIA;;;;;;
Araçagi;2ª;" ECI FRANCISCO PESSOA 
DE BRITO";ESTER MARTINS ALVES;GUILHERME XAVIER LEIRIA;;;;;;
Araçagi;2ª;" ECI FRANCISCO PESSOA 
DE BRITO";YASMIN BINDER DE OLIVEIRA;GUILHERME XAVIER LEIRIA;;;;;;
Araçagi;2ª;" ECI FRANCISCO PESSOA 
DE BRITO";MILENA DA SILVA BEZERRA;GUILHERME XAVIER LEIRIA;;;;;;
Araçagi;2ª;" ECI FRANCISCO PESSOA 
DE BRITO";ANA CELINA FERNANDES MIRANDA;GUILHERME XAVIER LEIRIA;;;;;;
Arara;3ª;"EEEFM E EJA ANESIO 
DEODONIO MORENO";ELOÍSA ROCHA DE LUCENA CÓRDULA;MARIA SOPHIA CORDEIRO PALMEIRA;;;;;;
Arara;3ª;"EEEFM E EJA ANESIO 
DEODONIO MORENO";MARIA LUÍZA ARAÚJO NETO;MARIA SOPHIA CORDEIRO PALMEIRA;;;;;;
Arara;3ª;"EEEFM E EJA ANESIO 
DEODONIO MORENO";MARYANNA MARIA CORREIA ARAÚJO ;MARIA SOPHIA CORDEIRO PALMEIRA;;;;;;
Arara;3ª;"EEEFM E EJA ANESIO 
DEODONIO MORENO";LARISSA VITÓRIA PEREIRA DOS SANTOS;MARIA SOPHIA CORDEIRO PALMEIRA;;;;;;
Arara;3ª;"EEEFM E EJA ANESIO 
DEODONIO MORENO";ELISÂNGELA SOPHIA FAUSTINO E FREITAS;MARIA SOPHIA CORDEIRO PALMEIRA;;;;;;
Arara;3ª;"ECI EEM MONSENHOR 
JOSE PAULINO";YANARA MARJORY FERNANDES OLIVEIRA;CORALINA PEREIRA DAS NEVES BANHEIRA;;;;;;
Arara;3ª;"ECI EEM MONSENHOR 
JOSE PAULINO";RICARDO EMANUEL OLIVEIRA DE AZEVEDO;CORALINA PEREIRA DAS NEVES BANHEIRA;;;;;;
Arara;3ª;"ECI EEM MONSENHOR 
JOSE PAULINO";LETÍCIA LIMA SILVA;CORALINA PEREIRA DAS NEVES BANHEIRA;;;;;;
Arara;3ª;"ECI EEM MONSENHOR 
JOSE PAULINO";JOSE GERISON RIBEIRO DA SILVA;CORALINA PEREIRA DAS NEVES BANHEIRA;;;;;;
Arara;3ª;"ECI EEM MONSENHOR 
JOSE PAULINO";MARIANNA SAMARA DE OLIVEIRA RAMOS;CORALINA PEREIRA DAS NEVES BANHEIRA;;;;;;
Araruna;2ª;ECIT BENJAMIN MARANHAO;INGRID MARIA BESERRA;AMADO CARVALHO MENDANHA;;;;;;
Araruna;2ª;ECIT BENJAMIN MARANHAO;ANTHONYA STEFANNY PINHEIRO DUARTE ALVES;AMADO CARVALHO MENDANHA;;;;;;
Araruna;2ª;ECIT BENJAMIN MARANHAO;JOSÉ MURILLO GONÇALVES DO NASCIMENTO;AMADO CARVALHO MENDANHA;;;;;;
Araruna;2ª;ECIT BENJAMIN MARANHAO;DAVI ALMEIDA DANTAS;AMADO CARVALHO MENDANHA;;;;;;
Araruna;2ª;ECIT BENJAMIN MARANHAO;INGRYD MAIANA RODRIGUES LIRA;AMADO CARVALHO MENDANHA;;;;;;
Araruna;2ª;EEEFM TARGINO PEREIRA;HERICK EMÍDIO FERREIRA TAVARES;CAMILA FARIAS DATENA GODINS;;;;;;
Araruna;2ª;EEEFM TARGINO PEREIRA;FERNANDO WILLY SANTOS ROCHA;CAMILA FARIAS DATENA GODINS;;;;;;
Araruna;2ª;EEEFM TARGINO PEREIRA;DEBORAH ALMEIDA ALVES;CAMILA FARIAS DATENA GODINS;;;;;;
Araruna;2ª;EEEFM TARGINO PEREIRA;JOÃO HENRIQUE PIRES SATURNINO;CAMILA FARIAS DATENA GODINS;;;;;;
Araruna;2ª;EEEFM TARGINO PEREIRA;DIOGO JOSÉ VARANDAS NOGUEIRA FILHO;CAMILA FARIAS DATENA GODINS;;;;;;
Areia;3ª;" ECIT MINISTRO 
JOSE AMERICO DE ALMEIDA";PEDRO HENRIQUE ROGÉRIO MOTA;CLARA AMARAL PORTEIRA;;;;;;
Areia;3ª;" ECIT MINISTRO 
JOSE AMERICO DE ALMEIDA";MARIA LIVYA BRAGA DA SILVA;CLARA AMARAL PORTEIRA;;;;;;
Areia;3ª;" ECIT MINISTRO 
JOSE AMERICO DE ALMEIDA";FRANCISCO LUCAS MOREIRA ROLIM;CLARA AMARAL PORTEIRA;;;;;;
Areia;3ª;" ECIT MINISTRO 
JOSE AMERICO DE ALMEIDA";BIANCA LIRA MACIEL ;CLARA AMARAL PORTEIRA;;;;;;
Areia;3ª;" ECIT MINISTRO 
JOSE AMERICO DE ALMEIDA";PEDRO RENATO MENESES LUSTOSA;CLARA AMARAL PORTEIRA;;;;;;
Areia;3ª;EEEF ALVARO MACHADO;LUCAS FEITOSA DE SOUZA;VIOLETA FARIAS DE ALENCAR;;;;;;
Areia;3ª;EEEF ALVARO MACHADO;FRANCISCO JAIME PEREIRA MENDES;VIOLETA FARIAS DE ALENCAR;;;;;;
Areia;3ª;EEEF ALVARO MACHADO;EWERTON CAROLINO DE SOUSA ABREU;VIOLETA FARIAS DE ALENCAR;;;;;;
Areia;3ª;EEEF ALVARO MACHADO;CAMILA FEITOSA DE SOUSA;VIOLETA FARIAS DE ALENCAR;;;;;;
Areia;3ª;EEEF ALVARO MACHADO;SAMIRA MARIA DIAS;VIOLETA FARIAS DE ALENCAR;;;;;;
"Areia de 
Baraúnas";6ª;EEEFM CLOVIS SATIRO;RAFAEL FAGUNDES SANTOS;CAETANA ROCHA FIGUEIRA ESPINHEIRA;;;;;;
"Areia de 
Baraúnas";6ª;EEEFM CLOVIS SATIRO;ANA VITÓRIA BATISTA DE MORAIS;CAETANA ROCHA FIGUEIRA ESPINHEIRA;;;;;;
"Areia de 
Baraúnas";6ª;EEEFM CLOVIS SATIRO;JORGE LUIS QUIRINO OLIVEIRA JUNIOR;CAETANA ROCHA FIGUEIRA ESPINHEIRA;;;;;;
"Areia de 
Baraúnas";6ª;EEEFM CLOVIS SATIRO;RODRIGO PINTO INACIO;CAETANA ROCHA FIGUEIRA ESPINHEIRA;;;;;;
"Areia de 
Baraúnas";6ª;EEEFM CLOVIS SATIRO;LETÍCIA MOREIRA DE OLIVEIRA SILVA;CAETANA ROCHA FIGUEIRA ESPINHEIRA;;;;;;
Areial;3ª;EEEFM FRANCISCO A SILVA;DAYARA JAMYLLE DE SOUSA CARVALHO;MICAELA LEITE RAIA;;;;;;
Areial;3ª;EEEFM FRANCISCO A SILVA;YNGRID CHAYELLI TOMAZ VENTURA;MICAELA LEITE RAIA;;;;;;
Areial;3ª;EEEFM FRANCISCO A SILVA;BRUNO SOARES LINS ;MICAELA LEITE RAIA;;;;;;
Areial;3ª;EEEFM FRANCISCO A SILVA;KEILLANY LIMA ROLIM ;MICAELA LEITE RAIA;;;;;;
Areial;3ª;EEEFM FRANCISCO A SILVA;ICARO OLIVEIRA ABREU;MICAELA LEITE RAIA;;;;;;
Aroeiras;3ª;"ECI DEPUTADO CARLOS
 PESSOA FILHO";FRANCISCO DHEYSON LIRA DE SOUSA;NATHAN FLORENTINO PIMENTA REZENDE;;;;;;
Aroeiras;3ª;"ECI DEPUTADO CARLOS
 PESSOA FILHO";JOSÉ LOPES DE VIEIRA NETO;NATHAN FLORENTINO PIMENTA REZENDE;;;;;;
Aroeiras;3ª;"ECI DEPUTADO CARLOS
 PESSOA FILHO";CÍNTHIA FERNANDES PESSOA;NATHAN FLORENTINO PIMENTA REZENDE;;;;;;
Aroeiras;3ª;"ECI DEPUTADO CARLOS
 PESSOA FILHO";SABRINA DE OLIVEIRA SILVA;NATHAN FLORENTINO PIMENTA REZENDE;;;;;;
Aroeiras;3ª;"ECI DEPUTADO CARLOS
 PESSOA FILHO";YUSCA CIPRIANO RAMOS;NATHAN FLORENTINO PIMENTA REZENDE;;;;;;
Aroeiras;3ª;"EEEFM MAJOR JOSE
 BARBOSA";MARIANNY RAMALHO SILVA;DAVI MIGUEL RAMOS LIMEIRA;;;;;;
Aroeiras;3ª;"EEEFM MAJOR JOSE
 BARBOSA";KAUANY INACIA CARVALHO ;DAVI MIGUEL RAMOS LIMEIRA;;;;;;
Aroeiras;3ª;"EEEFM MAJOR JOSE
 BARBOSA";LUCAS SOARES QUIRINO;DAVI MIGUEL RAMOS LIMEIRA;;;;;;
Aroeiras;3ª;"EEEFM MAJOR JOSE
 BARBOSA";FRANCISCO ALBINO CABRAL DANTAS ;DAVI MIGUEL RAMOS LIMEIRA;;;;;;
Aroeiras;3ª;"EEEFM MAJOR JOSE
 BARBOSA";LÚCIA GALDINO ALVES;DAVI MIGUEL RAMOS LIMEIRA;;;;;;
Assunção;3ª;"ECI EEM JOAO ROGERIO 
DIAS TOLEDO";LUIS GUSTAVO DE ARAÚJO CABRAL;MIA GARCIA SOARES;;;;;;
Assunção;3ª;"ECI EEM JOAO ROGERIO 
DIAS TOLEDO";THAINÁ LIMA ARAÚJO ;MIA GARCIA SOARES;;;;;;
Assunção;3ª;"ECI EEM JOAO ROGERIO 
DIAS TOLEDO";NATHAN CEZAR SANTOS;MIA GARCIA SOARES;;;;;;
Assunção;3ª;"ECI EEM JOAO ROGERIO 
DIAS TOLEDO";LUIS GUSTAVO DA SILVA RODRIGUES ;MIA GARCIA SOARES;;;;;;
Assunção;3ª;"ECI EEM JOAO ROGERIO 
DIAS TOLEDO";YSABELLY HÉVILA ROCHA DA SILVA ;MIA GARCIA SOARES;;;;;;
Bananeiras;2ª;ECIT JOSE ROCHA SOBRINHO;MARIA JULIA AMORIM GUEDES;MARIA FLOR  SILVEIRA;;;;;;
Bananeiras;2ª;ECIT JOSE ROCHA SOBRINHO;VITOR LUIZ MENDES DE SOUZA;MARIA FLOR  SILVEIRA;;;;;;
Bananeiras;2ª;ECIT JOSE ROCHA SOBRINHO;CAMILA RAQUELY PEREIRA;MARIA FLOR  SILVEIRA;;;;;;
Bananeiras;2ª;ECIT JOSE ROCHA SOBRINHO;RAISSA VITORIA SILVA SANTOS ;MARIA FLOR  SILVEIRA;;;;;;
Bananeiras;2ª;ECIT JOSE ROCHA SOBRINHO;JOÃO NETO MENDES;MARIA FLOR  SILVEIRA;;;;;;
Bananeiras;2ª; ENE PROF PEDRO A DE ALMEIDA;MATHEUS DANTAS FELIX;BENÍCIO BRANDÃO APARÍCIO;;;;;;
Bananeiras;2ª; ENE PROF PEDRO A DE ALMEIDA;THAYS FERNANDES ALVES;BENÍCIO BRANDÃO APARÍCIO;;;;;;
Bananeiras;2ª; ENE PROF PEDRO A DE ALMEIDA;MARIA ARAUJO MATIAS;BENÍCIO BRANDÃO APARÍCIO;;;;;;
Bananeiras;2ª; ENE PROF PEDRO A DE ALMEIDA;SAMUEL BARBOSA DANTAS FILHO;BENÍCIO BRANDÃO APARÍCIO;;;;;;
Bananeiras;2ª; ENE PROF PEDRO A DE ALMEIDA;RENALLY MIRELI DE BRITO FARIAS;BENÍCIO BRANDÃO APARÍCIO;;;;;;
Baraúna;4ª;EEEM PREFEITO SEVERINO PEREIRA GOMES;TICIANNE ALVES COSTA;CRISTÓVÃO ALVES RAMOS PALHARES;;;;;;
Baraúna;4ª;EEEM PREFEITO SEVERINO PEREIRA GOMES;DRIELLY EVELLYN SILVA VIEIRA ;CRISTÓVÃO ALVES RAMOS PALHARES;;;;;;
Baraúna;4ª;EEEM PREFEITO SEVERINO PEREIRA GOMES;JENNOFER DE FRANÇA ;CRISTÓVÃO ALVES RAMOS PALHARES;;;;;;
Baraúna;4ª;EEEM PREFEITO SEVERINO PEREIRA GOMES;CARLOS KEVEN DA SILVA;CRISTÓVÃO ALVES RAMOS PALHARES;;;;;;
Baraúna;4ª;EEEM PREFEITO SEVERINO PEREIRA GOMES;ANA CARLA SILVA MENDES;CRISTÓVÃO ALVES RAMOS PALHARES;;;;;;
Barra de Santa Rosa;4ª;ECIT JOSE LUIZ NETO;LUIS FELIPE DA ROCHA ;ANA JÚLIA XAVIER CASTANHO;;;;;;
Barra de Santa Rosa;4ª;ECIT JOSE LUIZ NETO;ERINEIDE MIRANDA DA SILVA;ANA JÚLIA XAVIER CASTANHO;;;;;;
Barra de Santa Rosa;4ª;ECIT JOSE LUIZ NETO;ANA HERNESTA CUNHA;ANA JÚLIA XAVIER CASTANHO;;;;;;
Barra de Santa Rosa;4ª;ECIT JOSE LUIZ NETO;BIANCA LIMA RAMOS;ANA JÚLIA XAVIER CASTANHO;;;;;;
Barra de Santa Rosa;4ª;ECIT JOSE LUIZ NETO;ARTHUR DE FARIAS ANDRADE;ANA JÚLIA XAVIER CASTANHO;;;;;;
Barra de Santana;3ª; EEEFM ALM ANTONIO HERACLITO DO REGO;YASMIM DA SILVA FIGUEIRÊDO;BRUNO AGUIAR GUEDES;;;;;;
Barra de Santana;3ª; EEEFM ALM ANTONIO HERACLITO DO REGO;THÚLIO BRANDÃO ;BRUNO AGUIAR GUEDES;;;;;;
Barra de Santana;3ª; EEEFM ALM ANTONIO HERACLITO DO REGO;ESTER CORREIA VIEIRA;BRUNO AGUIAR GUEDES;;;;;;
Barra de Santana;3ª; EEEFM ALM ANTONIO HERACLITO DO REGO;JULIANNE TERESA AIRES PONTES;BRUNO AGUIAR GUEDES;;;;;;
Barra de Santana;3ª; EEEFM ALM ANTONIO HERACLITO DO REGO;JUCILENE ANDRADE MATIAS;BRUNO AGUIAR GUEDES;;;;;;
Barra de São Miguel;3ª; EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO;ARTHUR LIRA PONTES;AMÉLIA AMARAL TAVARES DA CUNHA;;;;;;
Barra de São Miguel;3ª; EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO;ISABELA GESLAYNE VIEIRA;AMÉLIA AMARAL TAVARES DA CUNHA;;;;;;
Barra de São Miguel;3ª; EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO;MACIEL JÚNIOR DE OLIVEIRA;AMÉLIA AMARAL TAVARES DA CUNHA;;;;;;
Barra de São Miguel;3ª; EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO;MARIA VITORIA ROCHA LIMA;AMÉLIA AMARAL TAVARES DA CUNHA;;;;;;
Barra de São Miguel;3ª; EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO;JOÃO BARROS DE FELIX ;AMÉLIA AMARAL TAVARES DA CUNHA;;;;;;
Bayeux;1ª;EEEFM ENG JOSE DAVILA LINS;AMAURI MONTE BARBOSA;BRUNA SILVA GONÇALVES;;;;;;
Bayeux;1ª;EEEFM ENG JOSE DAVILA LINS;JHONNATA VIEIRA VIRGULINO;BRUNA SILVA GONÇALVES;;;;;;
Bayeux;1ª;EEEFM ENG JOSE DAVILA LINS;EMANUEL ARTHUR AYRES LACERDA;BRUNA SILVA GONÇALVES;;;;;;
Bayeux;1ª;EEEFM ENG JOSE DAVILA LINS;RICHELLY MEDEIROS FILHO;BRUNA SILVA GONÇALVES;;;;;;
Bayeux;1ª;EEEFM ENG JOSE DAVILA LINS;MATEUS FELIPE MORAIS;BRUNA SILVA GONÇALVES;;;;;;
Bayeux;1ª;ECIT PROFESSOR ANTONIO GOMES;CAIO DAUTE LIMA DE OLIVEIRA;ANABEL QUEIROZ PALHARES;;;;;;
Bayeux;1ª;ECIT PROFESSOR ANTONIO GOMES;ISAIAS NASCIMENTO ANDRADE PINTO;ANABEL QUEIROZ PALHARES;;;;;;
Bayeux;1ª;ECIT PROFESSOR ANTONIO GOMES;LUCAS ANDRÉ DE FARIAS;ANABEL QUEIROZ PALHARES;;;;;;
Bayeux;1ª;ECIT PROFESSOR ANTONIO GOMES;STEPHANI  OLIVEIRA SAMPAIO;ANABEL QUEIROZ PALHARES;;;;;;
